Stop_street,stop_lat,stop_name,stop_region,zone_id,stop_country,stop_lon,stop_city,stop_id,stop_desc,stop_postcode,location_type
,44.721283,hammonds Plains Rd in front of Brookshire Crt,,,,-63.688198,,6818,,,0
,44.732533,hammonds Plains Rd after Lucasville Rd,,,,-63.760208,,6811,,,0
,44.735683,hammonds Plains Rd opposite Pockwock Rd,,,,-63.794487,,6810,,,0
,44.722095,hammonds Plains Rd after Northwood Rd,,,,-63.823257,,6813,,,0
,44.725952,hammonds Plains Rd after Crestfield Dr,,,,-63.740688,,6812,,,0
,44.707539,hammonds Plains Rd after Stillwater Lake Dr,,,,-63.848854,,6815,,,0
,44.714043,hammonds Plains Rd after Rockcliffe Crt,,,,-63.83432,,6814,,,0
,44.727139,hammonds Plains Rd in front of M & S Bakery,,,,-63.744724,,6817,,,0
,44.726608,hammonds Plains Rd after St.george Blvd,,,,-63.743229,,6816,,,0
,44.794281,sackville Dr before Old Sackville Rd,,,,-63.720177,,7324,,,0
,44.766888,sackville Dr before and opposite Leaside Dr,,,,-63.682976,,7325,,,0
,44.796158,sackville Dr before Orchard Dr,,,,-63.731224,,7326,,,0
,44.764267,sackville Dr before Pinehill Dr,,,,-63.67662,,7327,,,0
,44.782104,sackville Dr before Lucasville Rd,,,,-63.710991,,7320,,,0
,44.785576,sackville Dr before Melham Dr,,,,-63.713253,,7321,,,0
,44.781487,sackville Dr before Millwood Dr,,,,-63.707649,,7322,,,0
,44.763447,sackville Dr before Oakdale Dr,,,,-63.674992,,7323,,,0
,44.764378,sackville Dr opposite Pinehill Dr,,,,-63.677048,,7328,,,0
,44.769913,sackville Dr before Riverside Dr,,,,-63.689236,,7329,,,0
,44.65892,baker Dr opposite Kent Building Supplies,,,,-63.529842,,8848,,,0
,44.661766,baker Dr after Lindenwood,,,,-63.529797,,8849,,,0
,44.668812,portland Hills Dr in front of civic address 621,,,,-63.507622,,8840,,,0
,44.667542,baker Dropposite civic address 59,,,,-63.531387,,8841,,,0
,44.66539,baker Dr in front of civic address 76,,,,-63.53019,,8842,,,0
,44.663597,baker Dr opposite civic address 105,,,,-63.529972,,8843,,,0
,44.660812,baker Dr after civic address 144,,,,-63.530388,,8844,,,0
,44.658779,baker Dr in front of Kent Buliding Supplies,,,,-63.530338,,8845,,,0
,44.656361,baker Dr after Basswood,,,,-63.529144,,8846,,,0
,44.656239,baker Dr before Basswood,,,,-63.528572,,8847,,,0
,44.594044,old Sambro Rdin front ofleiblen Dr,,,,-63.638489,,7669,,,0
,44.585533,old Sambro Rdin front ofcivic 702,,,,-63.641132,,7668,,,0
,44.554737,old Sambro Rdin front ofgospel Light Church,,,,-63.640453,,7661,,,0
,44.545799,old Sambro Rdin front offancyview Dr,,,,-63.641106,,7660,,,0
,44.570057,old Sambro Rdoppositeharriet Lane,,,,-63.634262,,7663,,,0
,44.566654,old Sambro Rdin front ofvenus Dr,,,,-63.636024,,7662,,,0
,44.577583,old Sambro Rdin front ofcivic 1000,,,,-63.63615,,7665,,,0
,44.572388,old Sambro Rdin front ofcivic 1060,,,,-63.632431,,7664,,,0
,44.581715,old Sambro Rdin front ofduggan Lane,,,,-63.640202,,7667,,,0
,44.579605,old Sambro Rdin front ofweavers Lake Dr,,,,-63.638176,,7666,,,0
,44.662971,lacewood Dr after and opposite Gateway Rd,,,,-63.642937,,7069,,,0
,44.661144,lacewood Dr after Glenforest Dr,,,,-63.638283,,7068,,,0
,44.663216,lacewood Dr after Dunbrack St,,,,-63.654053,,7067,,,0
,44.66378,lacewood Dr after Clayton Park Dr,,,,-63.645332,,7066,,,0
,44.66201,lacewood Dr after Braeside Lane,,,,-63.641102,,7065,,,0
,44.659584,lacewood Dr [outbound] after Stratford Way,,,,-63.666653,,7064,,,0
,44.661148,lacewood Dr [outbound] after Vimy St,,,,-63.636303,,7063,,,0
,44.671471,knightsridge Dr before Flamingo Dr,,,,-63.660229,,7062,,,0
,44.671604,knightsridge Dr after Flamingo Dr,,,,-63.660252,,7061,,,0
,44.670322,knightsridge Dr after Dunbrack St,,,,-63.662075,,7060,,,0
,44.631897,inglis St after Bellvue Ave,,,,-63.585899,,6961,,,0
,44.633228,inglis St opposite Smu,,,,-63.580746,,6960,,,0
,44.635895,inglis St before Barrington St,,,,-63.569874,,6963,,,0
,44.632648,inglis St after Robie St,,,,-63.582825,,6962,,,0
,44.633152,inglis St before Can Martyrs Church,,,,-63.58073,,6965,,,0
,44.631954,inglis St before Bellevue Ave,,,,-63.586124,,6964,,,0
,44.635078,inglis St before South Bland St,,,,-63.572781,,6967,,,0
,44.632759,inglis St before Robie St,,,,-63.582657,,6966,,,0
,44.63369,inglis St [eastbound] before Tower Rd,,,,-63.578423,,6969,,,0
,44.634483,inglis St [eastbound] before South Park St,,,,-63.575596,,6968,,,0
,44.640579,quinpool Rd [westbound] opposite Horseshoe Island,,,,-63.613907,,8154,,,0
,44.64159,quinpool Rd [eastbound] opposite Quinn St,,,,-63.609413,,8155,,,0
,44.641983,quinpool Rd [eastbound] before Woodlawn Terr,,,,-63.608185,,8152,,,0
,44.641129,quinpool Rd opposite civic address 7111,,,,-63.616531,,8153,,,0
,44.646839,quinpool Rd [eastbound] before Windsor St,,,,-63.591663,,8150,,,0
,44.647121,quinpool Rd [westbound] before Windsor St,,,,-63.591301,,8151,,,0
,44.790909,beaverbank Rd after Stokil Dr,,,,-63.692215,,8710,,,0
,44.79636,beaverbank Rd in front of civic address 273,,,,-63.690071,,8711,,,0
,44.67593,merrimac Dr after Silistria Dr,,,,-63.489796,,7199,,,0
,44.676884,merrimac Dr after Forest Hills Pkwy,,,,-63.490902,,7198,,,0
,44.807209,beaverbank Rd before Majestic,,,,-63.68808,,8714,,,0
,44.813271,beaverbank Rd in front of civic address 619,,,,-63.686058,,8715,,,0
,44.817745,beaverbank Rd in front of civic address 743,,,,-63.684353,,8716,,,0
,44.821999,beaverbank Rd in front of civic address 849,,,,-63.680965,,8717,,,0
,44.725834,meadowbrook Dr before Pleasant St,,,,-63.669807,,7193,,,0
,44.726822,meadowbrook Dr in front of civic address 60,,,,-63.67305,,7192,,,0
,44.72728,meadowbrook Dr in front of civic address 105,,,,-63.67765,,7191,,,0
,44.727051,meadowbrook Dr after Beech St,,,,-63.67725,,7190,,,0
,44.674507,victoria Rd [northbound] before Boland Rd,,,,-63.576153,,7197,,,0
,44.72694,meadowbrook Dr opposite civic address 60,,,,-63.673061,,7195,,,0
,44.725903,meadowbrook Dr opposite Pleasant St,,,,-63.670235,,7194,,,0
,44.668697,windmill Rd opposite Dawson St,,,,-63.582958,,8538,,,0
,44.672668,windmill Rd opposite Elmwood Ave,,,,-63.588924,,8539,,,0
,44.668449,portland St before Joffere St,,,,-63.543957,,8028,,,0
,44.802685,fall River Park And Ride [outbound],,,,-63.597622,,8029,,,0
,44.626621,point Pleasant Dr [eastbound] opposite Young St,,,,-63.572784,,8022,,,0
,44.627506,point Pleasant Park opposite Canteen,,,,-63.566086,,8023,,,0
,44.703896,lake Major Rd before Hwy #7,,,,-63.467102,,8020,,,0
,44.627003,point Pleasant Dr [westbound] in front of Young St,,,,-63.571716,,8021,,,0
,44.676571,poplar Dr before civic address 117,,,,-63.498199,,8026,,,0
,44.674622,poplar Dr before Evergreen Dr,,,,-63.497364,,8027,,,0
,44.676628,poplar Dr in front of civic address 118,,,,-63.498386,,8024,,,0
,44.674358,poplar Dr in front of civic address 62,,,,-63.497444,,8025,,,0
,44.670197,peddar's Way before Bow St,,,,-63.544205,,7441,,,0
,44.644726,atholea Dr in front of Caldwell Rd,,,,-63.47987,,7440,,,0
,44.672031,peddar's Way before civic address 47,,,,-63.544907,,7443,,,0
,44.670277,peddar's Way opposite Bow St,,,,-63.543987,,7442,,,0
,44.659679,valour Way - Dockyard 1st [southbound] Stop,,,,-63.587364,,6569,,,0
,44.655708,valour Way - Dockyard 1st [northbound] Stop,,,,-63.581364,,6568,,,0
,44.711987,pettipas Dr after Vidito Dr,,,,-63.610306,,7447,,,0
,44.670631,penhorn Terminal [downtown],,,,-63.538811,,7446,,,0
,44.656158,desmond Ave [northbound] before Scot St,,,,-63.627586,,6565,,,0
,44.654499,desmond Ave [southbound] before Bayers Rd,,,,-63.628098,,6564,,,0
